clip,window,n_frames,activity_index,distribution_uniformity,piling_score,feed_visit_rate,distress_index
1101_jpg.rf.5f3a8262c00fe2bef8e8a7e9ebb56eb2.jpg,151,1,0.0000,0.1934,0.0000,1.0000,0.5000
1102_jpg.rf.2ef449fd5813317cf7fa821e9528bc06.jpg,152,1,0.0000,0.3066,0.0000,1.0000,0.5000
1104_jpg.rf.62ada1cc1796512bcdbb460e9b43d50f.jpg,153,1,0.0000,0.6612,0.0000,0.0000,0.5000
1106_jpg.rf.c5511355bc4635a1f202714439914282.jpg,154,1,0.0000,0.3869,0.0000,1.0000,0.5000
1107_jpg.rf.26b62d4cf825d87cbdb01007c4d44d8a.jpg,155,1,0.0000,0.3066,0.0000,1.0000,0.5000
1108_jpg.rf.366882aaf754b019042d06d116c07129.jpg,156,1,0.0000,0.1934,0.0000,1.0000,0.5000
110_jpg.rf.41de101ca3cfb6a63e4a51a34276089c.jpg,157,1,0.0000,0.6612,0.0000,0.0833,0.5000
1110_jpg.rf.4c36a5dd57f00ad96342bdbe84ce8f61.jpg,158,1,0.0000,0.3869,0.0000,1.0000,0.5000
1111_jpg.rf.e659d89bb4b4a8b120d38175aca8f9b4.jpg,159,1,0.0000,0.1934,0.0000,1.0000,0.5000
1112_jpg.rf.343adb40bb3de9cf40c471d8724217cf.jpg,160,1,0.0000,0.1934,0.0000,1.0000,0.5000
1113_jpg.rf.812a6dca2784b7a2c65da6539678022a.jpg,161,1,0.0000,0.0000,0.0000,1.0000,0.5000
111416-1-,162,1,0.0000,0.6612,0.0000,0.3333,0.5000
111416,163,14,0.2876,0.6523,0.1250,0.2100,0.3812
111416-2-,164,1,0.0000,0.6612,0.5000,0.1667,0.6000
111416-4-,165,1,0.0000,0.6934,0.0000,0.1667,0.5000
1114_jpg.rf.75ea1b4c926a876c7a1282ebcc1aba33.jpg,166,1,0.0000,0.3869,0.0000,1.0000,0.5000
1115_jpg.rf.27a07ff7ce025ff13adaf514fd4cecfc.jpg,167,1,0.0000,0.0000,0.0000,1.0000,0.5000
1116_jpg.rf.00f080c7265453b789fb74b15000b066.jpg,168,1,0.0000,0.3066,0.0000,1.0000,0.5000
1117_jpg.rf.1c3ecd9896c53229b93d500a4a96a0b1.jpg,169,1,0.0000,0.2901,0.0000,1.0000,0.5000
1118_jpg.rf.02db9c77dc3554913d0112456fd86c05.jpg,170,1,0.0000,0.3066,0.0000,1.0000,0.5000
1119_jpg.rf.c0a1014dcc9baf615972310c2a0b66d8.jpg,171,1,0.0000,0.3869,0.0000,1.0000,0.5000
1121_jpg.rf.649bf8c6f5b0e4ab0a17999ecb1ea777.jpg,172,1,0.0000,0.4491,0.0000,1.0000,0.5000
1123_jpg.rf.da260995a4cedc949cc5c67e091f9ddd.jpg,173,1,0.0000,0.3869,0.0000,1.0000,0.5000
1124_jpg.rf.b7124924798382cc6bd46704621e7ab2.jpg,174,1,0.0000,0.1934,0.0000,1.0000,0.5000
1126_jpg.rf.9be9c1cc43badec56b73d3122ea05fe2.jpg,175,1,0.0000,0.2901,0.0000,1.0000,0.5000
1127_jpg.rf.33f3494966133cb3a92385d5c752b2ec.jpg,176,1,0.0000,0.1934,0.0000,1.0000,0.5000
1129_jpg.rf.92a9c1a9b0b5a10ea45fe0d07f05deb2.jpg,177,1,0.0000,0.1934,0.0000,1.0000,0.5000
112_jpg.rf.0bd767a612c58e9c2753fb18127c80e5.jpg,178,1,0.0000,0.6612,0.0000,0.1667,0.5000
